user_id,1-195,1-121,1-120,1-119,1-118,1-117,1-116,1-127,195-127,127-137,137-177,177-215,215-136,136-150,150-149,149-140,140-148,148-152,152-377,1-137,1-177,1-215,1-136,1-150,1-149,1-140,1-148,1-152,1-377,1-248,1-456,1-437,1-277,1-349,1-348,1-347,1-346,1-345,1-447,1-454,195-454,454-323,323-361,361-288,288-397,397-365,365-379,379-378,378-400,400-377,1-323,1-361,1-288,1-397,1-365,1-379,1-378,1-400,1-3772,1-4003,MaskModel,Size
B01098,1.030817986,0.496686637,1.673644185,8.745500565,0.127650052,2.125480175,8.766180038,0.807572901,1.838390946,11.55914783,8.62946701,3.646339178,2.696506739,4.052426815,10.0190649,1.707008481,4.394342899,4.36456728,2.954182148,10.75157547,2.122108936,5.768447876,3.071941376,0.980485201,9.038579941,7.331571102,2.937228203,7.301795483,10.25597763,8.538309097,3.583221197,7.469219208,0.276559591,4.545285702,2.508311749,9.743327141,2.869553804,2.067825317,0.492110103,10.43801308,9.407195091,1.452994347,4.214281082,3.079419136,1.325916171,7.49366045,3.896865368,2.103229523,4.580514908,3.816494465,8.98501873,4.770737648,1.691318631,0.36540255,7.859063148,3.962197781,1.858968496,6.439483166,10.25597763,6.439483166,Vertical Fold,1
B01133,0.787623763,0.307373345,1.510955215,8.887817383,0.061279163,2.016473293,8.928497314,0.609495521,1.397119284,11.44761181,8.81830883,3.467561245,2.671566486,4.162632465,10.45055008,1.976183057,4.381087303,4.576313496,3.045263767,10.83811665,2.019807577,5.487369061,2.815802336,1.346830249,9.103719711,7.127536774,2.746449471,7.322762966,10.36802673,8.69310379,3.562249899,7.372684956,0.41051954,4.627892494,3.004539013,9.822611809,2.629432917,1.97821486,0.378987193,10.17089367,9.38326931,1.375874877,4.140580654,3.162733555,0.589393258,6.877594948,3.974248409,2.052695513,4.525474548,4.089589596,8.795018196,4.654438019,1.491704822,0.902311504,7.77990675,3.80565834,1.752962708,6.278437614,10.36802673,6.278437614,Vertical Fold,1
B01449,0.762298346,0.434723496,1.411331415,8.830130577,0.137832761,1.974266768,8.891737938,0.732050836,1.494349122,11.58413506,8.751526833,3.114364386,2.307741404,4.390794277,10.51700878,2.106675625,4.185070038,4.35115242,3.308454037,10.85208416,2.100557089,5.214921474,2.907180071,1.483614326,9.033394814,6.926719189,2.741648912,7.092801571,10.40125561,8.632863045,3.585095644,7.264722347,0.300202131,4.369399548,3.146701336,9.798116684,2.677964449,2.038861036,0.300860047,10.04147816,9.279179573,1.299729228,4.257173061,3.123683453,0.795700788,7.138474464,3.979380369,2.009311199,4.363829613,4.322452068,8.74174881,4.484576225,1.360892534,0.565191746,7.703665733,3.724285126,1.714973927,6.078803539,10.40125561,6.078803539,Vertical Fold,0
B01618,0.714088798,0.310279429,1.193732381,8.493456841,0.068301708,1.756040335,8.537669182,0.585807085,1.299895883,11.12883854,8.71169281,3.466507435,2.582280397,4.278381348,10.37547302,1.879629493,4.268612862,4.33174324,3.066727638,10.54303169,1.831338882,5.297846317,2.71556592,1.562815547,8.812657356,6.933028221,2.664415121,6.9961586,10.06288624,8.319900513,3.365400791,7.140786171,0.341115892,4.230079651,3.149298668,9.526119232,2.528968811,1.836728334,0.076439604,9.731611252,9.017522812,1.076435328,4.223269463,3.259756327,0.996590197,7.386901855,3.915396214,2.101518631,4.399209023,4.11812973,8.655176163,4.431907177,1.172150493,0.175560266,7.56246233,3.647065878,1.545547366,5.944756508,10.06288624,5.944756508,Vertical Fold,1
B01770,0.79005307,0.463090479,1.375766039,8.682077408,0.136759505,1.875447869,8.71121788,0.744323075,1.534376144,11.41419411,8.718412399,3.412332296,2.471367359,4.270053864,10.2989893,1.910915971,4.283617973,4.361455917,3.094655275,10.66987133,1.951459289,5.363791466,2.892424107,1.377629519,8.921360016,7.010444164,2.726826191,7.088282108,10.18293762,8.482274055,3.358707666,7.236813545,0.248245895,4.263546467,2.936980247,9.638782501,2.656196117,1.89878273,0.227425247,10.09812546,9.308073044,1.334771514,4.302930832,3.088419199,1.123548985,7.413631439,3.950139999,2.059881687,4.413170815,4.117701054,8.763354301,4.46042347,1.372004271,0.248455256,7.662086964,3.711946964,1.652065277,6.065236092,10.18293762,6.065236092,Vertical Fold,1
B01914,0.872630835,0.60230267,1.796348214,8.821723938,0.203823298,2.252573967,8.862869263,0.894478679,1.767109513,11.6781044,8.577185631,3.239723682,2.507124901,4.07532692,10.16557026,1.935294271,4.290784359,4.376749039,3.114718199,10.78362656,2.206440687,5.446164131,2.939039469,1.136287332,9.02928257,7.093988419,2.803204298,7.179953098,10.29467106,8.633230209,3.682404041,7.330392361,0.174545497,4.506878376,2.893998384,9.75944519,2.748485565,2.149483681,0.426518559,10.20746517,9.334835052,1.392267704,4.194079876,2.805416584,1.160665393,7.111877441,3.936909199,2.001824617,4.496155262,3.970336914,8.815197945,4.621117592,1.815701127,0.655035675,7.766912937,3.830003738,1.828179121,6.324334621,10.29467106,6.324334621,Vertical Fold,0
B02181,0.893910229,0.414917231,1.233724117,8.628032684,0.110970065,1.741661906,8.646636009,0.711820245,1.605730534,11.3814249,8.832044601,3.692612886,2.600950003,4.240385532,10.28675175,1.822078228,4.351878166,4.388239861,2.982303619,10.66960526,1.837561131,5.530173779,2.929223776,1.311161757,8.975590706,7.153512478,2.801634073,7.189874172,10.17217827,8.422543526,3.295000315,7.324500561,0.29778555,4.310988903,2.711604834,9.67487812,2.706145048,1.799016237,0.210254267,10.12172413,9.227813721,1.277517557,4.283641338,3.314802885,1.047154546,7.533787251,3.935989857,2.160335779,4.515526772,4.020580769,8.84420681,4.560565472,1.245762825,0.198608264,7.732395649,3.796405792,1.636070013,6.151597023,10.17217827,6.151597023,Vertical Fold,1
B02325,0.647750497,0.4601188,1.423182368,8.568826675,0.142819062,1.905822039,8.638978004,0.747941792,1.395692348,11.28310394,8.628706932,3.297211885,2.413563251,4.389897823,10.35250378,1.918655634,4.202192783,4.338964462,3.101980686,10.53516293,1.906455278,5.203667164,2.790104151,1.599793911,8.752709389,6.834053993,2.631861448,6.970825672,10.07280636,8.396357536,3.219779491,7.079792023,0.223587081,4.122736454,3.39417243,9.489625931,2.547884703,1.905652165,0.039549172,9.781634331,9.133883476,1.116438985,4.338799953,2.892226696,1.218888521,7.290858269,3.927592993,2.010938644,4.270053864,4.235146046,8.665195465,4.326395035,1.43416822,0.215279683,7.506137848,3.578545094,1.567606688,5.837660313,10.07280636,5.837660313,Vertical Fold,0
B02377,0.857178509,0.511717081,1.572122455,8.743244171,0.160764158,2.080809593,8.775949478,0.818545341,1.67572391,11.55888176,8.626606941,3.336740017,2.445343018,4.251499176,10.22181988,1.88524127,4.261859894,4.314845562,3.126767159,10.74033642,2.113729239,5.450469017,3.005125999,1.246372938,8.975446701,7.090205193,2.82834506,7.143190384,10.26995754,8.548039436,3.556940794,7.321238518,0.252759457,4.363583565,2.922750235,9.706410408,2.77200532,2.074725628,0.275708735,10.11761761,9.260439873,1.247165322,4.273973465,3.040506601,1.175757885,7.368943214,3.919932365,2.053573608,4.448328018,4.045977592,8.870452881,4.596479416,1.555972576,0.380214691,7.749157906,3.829226017,1.77565217,6.223980427,10.26995754,6.223980427,Vertical Fold,1
B02460,0.910458326,0.398536026,1.44846797,8.776639938,0.118904561,1.97898078,8.811571121,0.657104731,1.567563057,11.33390236,8.625331879,3.387064219,2.74257803,4.03567028,10.3070879,1.902872324,4.366803169,4.47099781,3.067872047,10.67679787,2.051465511,5.438529491,2.6959517,1.339718699,8.96736908,7.064496517,2.697693586,7.168691635,10.23656368,8.602207184,3.504485369,7.274972439,0.301093608,4.51727438,2.991425991,9.672340393,2.560826302,2.022870541,0.197828561,9.971402168,9.060943604,1.266749144,4.141533375,3.110916138,0.694204867,6.94585371,3.957131386,2.009258509,4.471153736,4.027947903,8.704652786,4.563119411,1.452203035,0.757998228,7.7038517,3.746720314,1.737462044,6.20861578,10.23656368,6.20861578,Vertical Fold,0
B02517,0.644661129,0.444319099,1.633587122,8.952008247,0.134252384,2.147410154,9.00776577,0.764778256,1.409439325,11.67439365,8.818671227,3.177741051,2.315908432,4.384172916,10.4969244,2.09839344,4.177130222,4.383368492,3.292238712,10.90961552,2.090944052,5.268685341,2.95277667,1.431396246,9.065527916,6.967134953,2.790004253,7.173372746,10.46561146,8.76556778,3.682412624,7.278521538,0.32723397,4.471488953,3.209762573,9.834451675,2.72306633,2.046077967,0.2848804,9.90649128,9.26183033,1.135115385,4.177395344,2.968269825,0.837602496,6.950745106,3.961934566,2.055243015,4.404577255,4.339357853,8.77137661,4.593980789,1.625710964,0.788108468,7.738853931,3.776919127,1.721676111,6.126253128,10.46561146,6.126253128,Vertical Fold,0
B02654,0.609385252,0.406001508,1.523065209,8.999412537,0.123219192,2.019013166,9.11213398,0.77265799,1.382043242,11.67648983,8.819074631,3.131227255,2.219802141,4.46965456,10.58852768,2.275049686,4.082399368,4.507780075,3.241276741,10.90383148,2.084756613,5.215983868,2.996181726,1.473473072,9.115054131,6.840004921,2.757605076,7.265385151,10.50666237,8.874162674,3.539160967,7.311113834,0.308088958,4.46632576,3.148149729,9.887071609,2.69016695,2.017117739,0.345959514,10.18742275,9.578037262,1.554983854,4.004720688,3.129610538,0.68526566,6.931437016,3.990053415,2.024876595,4.350741386,4.426571846,8.63243866,4.627717972,1.498107672,0.812841952,7.744278908,3.754225254,1.72934866,6.080090046,10.50666237,6.080090046,Vertical Fold,1
